SYMBOL	ALIAS	HGNC	ENTREZ
RBP5	RBP5	15847	83758
RBP7	CRBPIV	30316	116362
RBP7	RBP7	30316	116362
RBPJ	IGKJRB	5724	3516
RBPJ	RBPJK	5724	3516
RBPJ	KBF2	5724	3516
RBPJ	RBP-J	5724	3516
RBPJ	CBF1	5724	3516
RBPJ	IGKJRB1	5724	3516
RBPJ	RBPSUH	5724	3516
RBPJ	RBPJ	5724	3516
RBPJL	RBP-L	13761	11317
RBPJL	SUHL	13761	11317
RBPJL	RBPSUHL	13761	11317
RBPJL	RBPJL	13761	11317
RBPJP1	IGKJRBP1	5725	100310842
RBPJP1	RBPSUHP1	5725	100310842
RBPJP1	RBPJP1	5725	100310842
RBPJP2	IGKJRBP2	5726	3517
RBPJP2	RBPSUHP2	5726	3517
RBPJP2	RBPJP2	5726	3517
RBPJP3	K2	13686	58164
RBPJP3	RBPSUHP3	13686	58164
RBPJP3	RBPJP3	13686	58164
RBPJP4	RBPSUHP4	13687	58163
RBPJP4	RBPJP4	13687	58163
RBPJP5	RBPJP5	37485	100288841
RBPJP6	RBPJP6	37486	643198
RBPJP7	RBPJP7	37487	100133122
RBPMS	HERMES	19097	11030
RBPMS	RBPMS	19097	11030
RBPMS-AS1	RBPMS-AS1	48721	100128750
RBPMS2	RBPMS2	19098	348093
RBPMS2P1	RBPMS2P1	50509	100421512
RBPMSLP	RBPMSLP	9923	54032
RBSN	ZFYVE20	20759	64145
RBSN	RBSN	20759	64145
RBX1	RNF75	9928	9978
RBX1	BA554C12.1	9928	9978
RBX1	RBX1	9928	9978
RBX1P1	RBX1P1	54740	100287985
RBX1P2	RBX1P2	54741	100500934
RC3H1	KIAA2025	29434	149041
RC3H1	roquin	29434	149041
RC3H1	RP5-1198E17.5	29434	149041
RC3H1	RNF198	29434	149041
RC3H1	RC3H1	29434	149041
RC3H1-IT1	RC3H1-IT1	41496	106481790
RC3H2	FLJ20301	21461	54542
RC3H2	FLJ20713	21461	54542
RC3H2	RNF164	21461	54542
RC3H2	RC3H2	21461	54542
RCAN1	DSCR1	3040	1827
RCAN1	RCAN1	3040	1827
RCAN2	ZAKI-4	3041	10231
RCAN2	DSCR1L1	3041	10231
RCAN2	RCAN2	3041	10231
RCAN3	DSCR1L2	3042	11123
RCAN3	RCAN3	3042	11123
RCAN3AS	TCONS_00001428	39009	100750325
RCAN3AS	RCAN3AS	39009	100750325
RCBTB1	FLJ10716	18243	55213
RCBTB1	CLLD7	18243	55213
RCBTB1	CLLL7	18243	55213
RCBTB1	RCBTB1	18243	55213
RCBTB2	CHC1L	1914	1102
RCBTB2	RCBTB2	1914	1102
RCBTB2P1	RCBTB2P1	45167	100130253
RCC1	CHC1	1913	1104
RCC1	RCC1	1913	1104
RCC1L	WBSCR16	14948	81554
RCC1L	RCC1L	14948	81554
RCC2	TD-60	30297	55920
RCC2	RCC2	30297	55920
RCC2-AS1	LCPAT1	41262	114515514
RCC2-AS1	ENST00000439577	41262	114515514
RCC2-AS1	RCC2-AS1	41262	114515514
RCC2P1	RCC2P1	37710	650983
RCC2P2	RCC2P2	38419	100421075
RCC2P3	RCC2P3	42379	100131932
RCC2P4	RCC2P4	42380	100421090
RCC2P5	RCC2P5	42381	100131442
RCC2P6	RCC2P6	42382	100421131
RCC2P7	RCC2P7	42383	442221
RCC2P8	RCC2P8	42384	100129714
RCCD1	MGC14386	30457	91433
RCCD1	RCCD1	30457	91433
RCCD1-AS1	RCCD1-AS1	54811	116435297
RCE1	hRCE1	13721	9986
RCE1	FACE-2	13721	9986
RCE1	FACE2	13721	9986
RCE1	RCE1A	13721	9986
RCE1	RCE1B	13721	9986
RCE1	RCE1	13721	9986
RCHY1	CHIMP	17479	25898
RCHY1	DKFZp586C1620	17479	25898
RCHY1	PRO1996	17479	25898
RCHY1	RNF199	17479	25898
RCHY1	ARNIP	17479	25898
RCHY1	PIRH2	17479	25898
RCHY1	ZCHY	17479	25898
RCHY1	ZNF363	17479	25898
RCHY1	RCHY1	17479	25898
RCL1	RPCL1	17687	10171
RCL1	RNAC	17687	10171
RCL1	RCL1	17687	10171
RCN1	Rcal	9934	5954
RCN1	PIG20	9934	5954
RCN1	FLJ37041	9934	5954
RCN1	RCN	9934	5954
RCN1	RCN1	9934	5954
RCN1P1	RCN1P1	39205	442234
RCN1P2	RCN1P2	39204	728913
RCN2	ERC-55	9935	5955
RCN2	E6BP	9935	5955
RCN2	ERC55	9935	5955
RCN2	TCBP49	9935	5955
RCN2	RCN2	9935	5955
RCN3	RLP49	21145	57333
RCN3	RCN3	21145	57333
RCOR1	COREST	17441	23186
RCOR1	KIAA0071	17441	23186
